"filename", "language", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "Python", "pip requirements", "HTML", "Properties", "comment", "blank", "total"
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\migrations\0002_alter_profile_department.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 6, 21
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\migrations\0003_profile_middle_name_profile_prefix.py", "Python", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 6, 24
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\migrations\0004_alter_profile_department.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 6, 21
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\migrations\0005_profile_password_changed.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 6, 19
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\migrations\0006_alter_profile_role.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 6, 19
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\models.py", "Python", 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 14, 64
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\serializers.py", "Python", 0, 0, 0, 0, 0, 150, 0, 0, 0, 8, 35, 193
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\tests.py", "Python", 0, 0, 0, 0, 0, 74, 0, 0, 0, 37, 20, 131
"g:\professional life\projects\Final sem project\Quarterly Report\backend\users\views.py", "Python", 0, 0, 0, 0, 0, 183, 0, 0, 0, 12, 47, 242
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"g:\professional life\projects\Final sem project\Quarterly Report\frontend\dist\assets\index-B3Lllsr0.js", "JavaScript", 0, 0, 272, 0, 0, 0, 0, 0, 0, 1, 13, 286
